Source,Target,Weight,Timestamp
254,707,2,5
255,1,2,4
255,49,1,16
255,507,2,9
255,935,4,4
255,1184,1,5
256,3,2,13
257,1,1,17
257,4,1,15
257,21,1,16
257,606,3,15
258,22,2,15
258,41,3,16
258,134,1,15
259,56,1,17
261,1,1,4
261,43,1,3
261,96,1,13
261,169,1,3
261,194,1,3
261,196,1,6
261,261,1,3
261,341,1,3
261,428,1,3
264,1,2,4
264,35,2,4
264,49,4,1
264,169,3,4
264,261,2,4
264,264,2,4
264,283,1,5
264,341,1,4
264,1223,3,3
264,1327,1,4
265,22,4,15
266,832,2,10
267,7,1,7
267,53,1,3
267,78,2,8
267,243,1,4
267,267,1,8
272,311,1,6
272,1166,1,4
273,273,1,6
273,375,1,1
274,274,4,12
277,413,1,10
278,802,7,3
281,281,1,2
281,759,1,8
281,1415,1,8
282,282,1,11
282,918,1,5
283,51,1,5
283,334,1,4
283,341,2,4
288,288,1,11
288,1161,1,11
290,449,1,11
291,13,4,8
293,1240,1,15
297,297,6,7
297,309,5,7
297,1129,3,7
299,299,1,3
305,671,1,5
307,307,3,7
309,297,3,7
309,309,4,7
309,949,7,7
312,1,6,2
312,21,1,12
312,22,1,9
312,73,5,2
312,149,1,5
312,211,1,16
313,313,3,6
313,519,1,13
313,1243,1,10
315,2,2,7
315,95,1,7
315,308,1,10
317,54,1,8
318,89,1,15
318,566,1,15
319,188,1,3
323,70,1,14
323,637,1,12
323,1013,1,14
325,53,1,1
325,1113,1,1
326,506,1,2
332,23,1,6
332,43,2,4
332,1327,1,4
332,1438,3,6
335,335,8,4
335,336,9,4
336,335,9,4
336,336,8,4
337,1,6,2
337,2,1,2
341,49,1,9
341,53,1,14
342,5,1,8
342,162,1,4
342,342,3,11
342,543,2,2
342,770,1,4
342,1522,1,14
342,1571,4,2
343,1,4,1
343,343,3,1
343,506,1,2
347,2,1,11
347,19,1,11
350,350,1,13
352,352,1,3
352,550,1,3
355,355,3,3
356,1,6,3
356,10,1,4
356,380,1,3
359,359,2,14
359,753,1,8
359,1028,1,16
361,628,1,4
362,362,2,5
362,1620,3,5
365,411,5,10
365,841,9,4
365,947,6,5
365,1049,6,5
370,370,5,5
371,1,6,1
373,103,1,15
374,169,2,3
376,638,3,8
380,1,1,15
382,382,7,13
383,398,1,15
383,695,1,6
386,386,1,15
387,387,5,3
387,801,1,10
388,237,1,9
388,388,1,5
389,371,1,13
389,389,3,6
390,390,13,2
392,392,9,11
392,834,7,7
392,847,8,11
396,275,1,7
405,405,1,15
405,874,1,15
407,407,1,16
407,727,1,16
409,358,1,5
411,1,11,1
411,2,1,10
411,5,1,10
411,365,3,5
411,411,2,10
411,774,1,10
413,168,1,10
416,1,1,4
416,1274,1,4
416,1286,1,13
417,1,10,4
417,370,6,4
418,64,1,10
418,88,2,9
419,1,9,1
419,2,1,15
419,5,1,15
419,30,1,11
419,98,4,2
419,357,1,16
421,410,5,11
421,421,6,12
421,463,6,12
425,415,1,12
425,425,1,12
426,78,1,11
426,426,1,11
430,1,4,15
430,21,1,15
430,27,1,9
430,35,1,9
430,125,1,3
430,132,1,4
431,431,1,13
431,984,1,13
433,423,1,14
435,435,1,12
436,1,7,1
436,43,1,5
436,76,1,4
436,946,1,15
438,438,2,14
438,529,1,13
438,615,8,13
439,852,1,15
440,440,3,4
440,1106,1,14
443,443,2,7
444,1,1,16
444,920,1,16
450,1,27,16
450,450,1,16
452,1,8,4
452,21,1,12
452,22,9,4
452,27,1,12
452,111,1,12
452,141,1,12
452,794,9,12
452,855,1,12
453,1065,3,5
454,4,13,15
454,94,1,15
456,231,1,7
457,457,3,14
457,1264,2,14
458,1,1,15
458,2,1,15
458,5,1,15
466,1,1,15
466,15,2,16
466,22,1,9
466,111,1,15
466,134,1,15
466,184,1,15
466,466,1,15
467,624,4,7
467,633,1,14
467,1221,1,7
467,1317,2,7
472,139,2,4
474,1,2,8
474,30,2,8
474,474,1,14
474,720,2,3
476,476,1,14
480,1,1,5
480,5,2,5
480,129,2,5
483,483,2,10
483,922,2,10
483,1598,2,10
488,1,1,15
488,2,1,15
488,5,1,15
489,3,1,13
489,21,1,15
491,1,1,14
491,2,1,14
491,5,1,14
491,42,1,1
491,151,1,9
491,491,2,4
491,505,1,6
496,496,1,5
497,444,1,4
497,497,2,12
500,65,1,11
500,500,1,13
500,529,3,13
501,1,1,15
501,51,2,5
502,502,1,11
505,1,4,1
505,19,2,11
505,30,1,13
505,248,1,5
505,505,2,3
507,1,13,2
507,49,1,16
507,255,6,3
507,507,1,13
507,935,1,4
507,1159,1,16
507,1184,2,3
508,508,3,15
508,943,1,15
519,647,1,9
522,522,1,1
523,109,1,9
523,183,1,1
523,189,1,15
523,375,1,1
523,1151,1,6
524,93,1,13
527,1,2,2
527,5,1,2
527,151,1,4
528,70,1,6
528,882,1,4
529,65,7,11
529,199,3,8
529,232,1,10
529,438,1,13
529,500,5,12
529,529,2,10
532,532,1,15
532,558,3,15
534,789,1,2
534,974,1,2
534,1193,3,10
537,537,5,11
537,677,7,11
541,1109,1,1
543,49,1,16
547,1,1,4
547,73,33,4
547,547,2,4
547,597,5,4
547,1098,2,4
550,352,1,3
551,36,1,9
551,1553,2,6
552,246,1,11
553,1,1,1
553,1544,1,4
556,277,1,17
556,486,1,15
556,502,1,16
556,613,1,15
562,345,1,9
562,734,1,4
562,1482,1,3
565,35,1,12
566,1,1,15
569,569,1,12
574,574,1,15
575,63,2,2
576,576,6,5
577,465,3,10
578,14,1,10
578,578,6,1
578,1231,1,1
579,579,1,16
580,580,1,12
580,722,5,9
580,747,7,9
581,35,1,7
583,583,2,4
584,685,1,8
585,662,1,1
586,57,1,3
586,515,2,6
588,17,6,2
588,588,1,2
588,592,1,16
588,783,1,2
589,589,1,16
589,719,1,16
592,17,1,16
595,595,2,3
596,596,1,15
596,1626,1,16
597,1,1,4
597,22,1,9
597,547,2,4
598,598,2,11
602,602,3,6
602,763,1,14
604,604,2,3
604,614,4,3
604,692,3,3
604,788,2,3
604,1082,2,3
605,199,5,7
605,605,1,11
605,1188,1,11
606,21,1,15
606,406,2,15
607,546,3,14
607,607,3,5
609,99,1,6
610,21,1,15
610,40,1,15
610,47,1,15
610,48,1,15
610,76,1,15
610,79,1,15
610,102,1,15
610,215,1,15
610,406,1,15
612,24,1,9
613,486,1,15
613,556,3,6
613,613,1,15
613,889,1,6
614,604,2,3
614,614,2,3
614,692,2,3
614,788,1,3
614,1082,1,3
615,438,6,14
615,615,3,14
621,38,1,14
621,57,1,14
621,180,1,14
623,623,1,7
623,732,1,7
623,800,2,7
624,467,1,7
624,1317,1,7
625,625,1,10
626,626,5,9
626,1494,3,9
630,72,5,10
630,310,2,10
630,521,2,10
630,630,3,10
631,86,1,17
633,455,1,6
633,1317,1,12
634,115,2,4
635,635,1,10
635,636,1,6
637,323,1,12
637,637,1,12
638,331,3,8
638,376,11,8
638,638,1,16
639,639,4,15
643,147,2,6
643,643,1,8
643,674,1,10
643,707,1,8
643,887,1,15
646,234,1,3
647,6,3,1
647,12,1,1
647,313,3,10
647,519,1,13
647,647,3,1
648,266,1,9
648,832,2,8
651,53,1,14
651,621,1,15
653,1375,1,9
653,1411,1,9
654,245,15,1
654,269,14,1
654,271,14,1
654,328,11,1
654,654,3,10
656,35,4,6
656,43,1,6
656,264,1,6
665,680,1,16
669,1,1,6
669,651,1,2
669,835,1,13
669,884,1,13
670,1410,1,12
673,1,2,4
673,49,3,15
673,123,1,4
677,537,5,11
677,677,3,11
678,678,2,17
679,84,1,8
679,1001,1,3
679,1074,1,4
679,1336,1,9
681,143,1,16
681,237,1,16
681,877,1,14
684,684,4,8
685,584,1,8
687,9,1,11
694,694,1,2
696,30,1,12
696,147,1,12
697,96,1,14
697,409,1,15
700,700,1,17
702,702,2,17
703,62,1,8
707,49,4,4
707,254,2,4
707,401,2,4
707,643,1,8
709,100,3,8
709,709,1,8
710,843,1,8
712,1,4,5
712,2,5,2
712,5,3,2
712,712,1,3
714,714,1,3
717,123,1,12
717,1017,1,7
717,1372,1,11
719,589,1,16
719,719,3,3
720,1,1,6
720,5,1,2
720,49,1,3
720,53,1,3
722,580,5,9
722,722,2,15
727,407,1,16
731,1,14,1
731,49,1,13
731,86,2,8
731,254,1,12
731,532,1,15
732,623,1,7
732,732,2,7
732,800,2,7
738,738,3,8
739,1470,3,6
740,99,1,6
740,352,1,3
740,550,1,3
743,1,1,16
743,22,3,12
743,47,1,15
743,92,1,15
744,1241,1,16
747,1,2,13
747,2,1,13
747,5,1,13
747,22,1,9
747,580,5,9
747,747,1,9
750,750,1,2
751,751,3,5
753,782,1,10
753,1336,1,10
757,757,2,16
758,53,1,12
760,49,3,4
760,194,2,2
760,401,2,7
760,707,1,7
764,764,2,3
766,383,1,7
766,811,1,7
770,140,1,12
770,395,1,12
771,1234,5,3
774,1,1,4
774,5,1,10
774,365,1,3
774,411,4,7
774,774,4,4
774,803,2,5
774,879,6,3
774,1049,1,5
778,22,1,10
778,35,4,5
778,51,1,5
778,1212,4,12
779,1007,1,7
780,780,1,3
781,781,2,16
784,1097,1,6
786,282,1,11
788,604,2,3
788,614,1,3
788,692,1,3
788,788,1,3
788,1082,1,3
794,15,1,16
794,452,4,12
794,466,1,16
796,796,4,7
796,1053,4,7
797,232,1,11
797,622,4,11
797,797,1,11
797,1242,2,7
797,1249,2,11
797,1334,2,11
799,244,1,15
800,232,1,7
800,623,8,7
800,732,6,7
800,800,5,7
802,278,18,1
802,802,1,6
803,1,10,2
808,808,4,3
808,1073,4,3
808,1599,5,7
809,809,6,1
810,10,3,5
810,140,1,13
810,150,1,8
810,1569,1,8
811,300,1,4
811,383,1,7
813,813,1,14
815,815,1,15
817,56,1,17
817,104,1,17
819,819,1,17
820,497,1,12
821,5,1,16
823,5,1,16
823,6,1,12
823,17,1,12
823,823,1,12
827,827,3,14
827,1355,2,14
829,829,4,1
832,10,1,13
832,80,1,16
832,1595,1,9
833,833,2,1
837,837,1,9
847,392,4,11
847,834,2,11
848,848,1,16
848,921,1,11
851,851,1,6
851,1469,1,6
852,1,1,3
852,351,1,4
852,441,1,4
854,854,4,3
858,10,2,8
858,524,1,14
