equipo,#,Jugador,Name,Repeat,Porcentaje,edad,altura,posiciÛn,Club
TUN,9,"Hadidane, M.",Hadidane,0,0,29,206,SF,"Stade Nabeulien, TUN"
TUN,5,"Laghnej, M.",Laghnej,0,0,24,190,PG/SG,"JS Kairouan, TUN"
TUN,4,"Slimane, R.",Slimane,0,0,27,205,SF/PF,"An Nasr, TUN"
TUN,7,"Dhifallah, N.",Dhifallah,2,0,30,196,SG/SF,"Club Africain, TUN"
TUN,10,"Maoua, A.",Maoua,0,0,24,199,SG/SF,"CB Huelva, LEB"
TUN,8,"Kechrid, M.",Kechrid,0,0,24,176,PG,"Amel Sportif Esaouira, TUN"
TUN,11,"Ghyaza, M.",Ghyaza,0,0,21,203,C,"ES Rades, TUN"
TUN,6,"Knioua, N.",Knioua,0,0,31,188,SG,"Stade Nabeulien, TUN"
TUN,13,"Rzig, A.",Rzig,0,0,31,198,PF,"Stade Nabeulien, TUN"
TUN,14,"Braa, Hamdi",Braa,5,0,32,203,PF/C,"Etoile Sportive Sahel, TUN"
TUN,15,"Mejri, S.",Mejri,2,0,27,216,C,"Etoile Sportive Sahel, TUN"
TUN,12,"Ben Romdhane, M.",Romdhane,0,0,33,204,PF/C,"Etoile Sportive Sahel, TUN"
TUR,10,"Tunçeri, K.",TunÃ§eri,41,0.02,25,194,PG,"Efes Pilsen, TBL"
TUR,15,"TÜRKOĞLU, H.",TÃœRKOÄžLU,13,0.01,27,208,F,"Phoenix Suns, NBA"
TUR,7,"Onan, ÷.",Onan,37,0.02,23,194,SG,"FenerbahÁe ‹lker, TBL"
TUR,13,"Arslan, E.",Arslan,34,0.02,23,190,PG,"Efes Pilsen, TBL"
TUR,12,"Gˆnl¸m, K.",GÃ¶nlÃ¼m,17,0.01,23,208,PF,"Efes Pilsen, TBL"
TUR,6,"Ermiş, B.",ErmiÅŸ,0,0,24,194,PG,"Banvit, TBL"
TUR,5,"Güler, S.",GÃ¼ler,22,0.01,24,193,SG,"Efes Pilsen, TBL"
TUR,4,"Akyol, C.",Akyol,72,0.03,31,197,SG/SF,"Air Avellino, Serie A"
TUR,11,"Savas, O.",Savas,19,0.01,24,208,C,"FenerbahÁe ‹lker, TBL"
TUR,8,"İLYASOVA, E.",Ä°LYASOVA,7,0,22,208,F,"Milwaukee Bucks, NBA"
TUR,9,"Erden, S.",Erden,60,0.03,22,211,C,"Boston Celtics, NBA"
TUR,14,Aşık,AÅŸÄ±k,25,0.01,34,214,C,"Chicago Bulls, NBA"
USA,14,"Odom, L.",Odom,435,0.21,28,208,F,"Los Angeles Lakers, NBA"
USA,8,"Gay, R.",Gay,153,0.07,22,203,SF,"Memphis Grizzlies, NBA"
USA,11,"CURRY, S.",Curry,118,0.06,22,191,G,"Golden State Warriors, NBA"
USA,6,"Rose, D.",Rose,290,0.14,27,191,PG,"Chicago Bulls, NBA"
USA,4,"Billups, C.",Billups,129,0.06,26,191,G,"Denver Nuggets, NBA"
USA,15,"Chandler, T.",Chandler,40,0.02,22,216,C,"Dallas Mavericks, NBA"
USA,5,"Durant, K.",Durant,2241,1.07,22,206,F,"Oklahoma City Thunder, NBA"
USA,12,"Gordon, E.",Gordon,124,0.06,22,191,SG,"Los Angeles Clippers, NBA"
USA,10,"Granger, D.",Granger,46,0.02,27,203,PF,"Indiana Pacers, NBA"
USA,9,"Iguoala, A.",Iguoala,0,0,26,198,F,"Philadelphia Sixers, NBA"
USA,13,"Love, K.",Kevin Love,84,0.04,22,208,PF,"Minnesota Timberwolves, NBA"
USA,7,"Westbrook, R.",Westbrook,78,0.04,22,191,G,"Oklahoma City Thunder, NBA"
